10
153, 23
124, 8
153, 16
6, 58
4, 38
112, 49
32, 1
35, 22
53, 40
95, 25

tasks
50
32, 52
154, 5
1, 2
133, 37
15, 3
75, 61
91, 39
33, 13
23, 28
19, 4
45, 31
26, 13
48, 25
10, 22
72, 58
159, 1
137, 41
36, 24
145, 18
156, 61
72, 37
80, 40
1, 60
127, 43
147, 5
150, 36
3, 40
159, 48
7, 59
61, 22
158, 58
63, 46
72, 19
2, 60
142, 61
117, 58
113, 2
113, 54
118, 52
137, 23
12, 19
119, 7
20, 13
150, 51
156, 29
80, 36
100, 55
21, 34
94, 19
81, 61

temporal
20
33, 36
27, 15
43, 35
36, 42
49, 21
40, 9
13, 26
11, 18
17, 29
32, 30
12, 23
29, 2
22, 8
21, 19
34, 37
48, 24
15, 20
41, 30
6, 23
46, 31
