10
7, 6
9, 3
1, 15
10, 12
9, 13
10, 11
2, 11
3, 6
12, 2
4, 8

tasks
50
11, 8
7, 13
6, 10
14, 3
3, 15
9, 10
6, 2
13, 7
1, 8
3, 10
5, 13
5, 7
8, 9
14, 4
11, 2
13, 6
11, 4
4, 1
14, 2
1, 13
12, 7
0, 9
14, 1
1, 1
14, 7
10, 12
11, 6
15, 8
12, 10
12, 0
11, 11
2, 15
12, 4
12, 8
11, 12
2, 10
11, 10
10, 10
11, 9
1, 6
5, 12
5, 8
9, 9
12, 11
15, 5
1, 11
1, 3
5, 15
7, 0
9, 1

temporal
20
36, 15
6, 33
19, 24
28, 21
32, 29
20, 18
8, 15
40, 49
46, 23
18, 45
21, 5
29, 38
41, 0
43, 0
34, 14
24, 14
27, 15
25, 7
26, 4
13, 38
